1, Test Method "unitTests.tests_element_elementActions.waitForElementToBePresent_false_expectedToPass" failed. Please investigate and open a new Issue if needed.
2, Test Method "unitTests.tests_element_elementActions.waitForElementToBePresent_true_expectedToFail" failed. Please investigate and open a new Issue if needed.
3, Test Method "unitTests.tests_validations_assertions.assertElementExists_false_expectedToFail" failed. Please investigate and open a new Issue if needed.
4, Test Method "unitTests.tests_validations_assertions.assertElementExists_false_expectedToPass" failed. Please investigate and open a new Issue if needed.
5, Test Method "unitTests.tests_validations_assertions.assertElementExists_true_expectedToFail" failed. Please investigate and open a new Issue if needed.
6, Test Method "testPackage01.Test_uploadFile.uploadFile_invisibleUploadInput" failed. Please investigate and open a new Issue if needed.
7, Test Method "testPackage01.Test_clipboardActions.typeTextAndCopyPaste" failed. Please investigate and open a new Issue if needed.
8, Test Method "testPackage01.Test_google.searchForQueryandAssertResultsNumDisplayed" failed. Please investigate and open a new Issue if needed.
9, Test Method "testPackage01.Test_dynamicLoading.dynamicLoading_elementIsHidden" failed. Please investigate and open a new Issue if needed.
10, Test Method "testPackage01.Test_dynamicLoading.dynamicLoading_elementIsRendered" failed. Please investigate and open a new Issue if needed.
11, Test Method "testPackage01.Test_SkipDueToIssue.skip" passed. Please validate and close this open issue "INC1".
12, Test Method "testPackage01.Test_SkipDueToIssue.skip2" passed. Please validate and close this open issue "INC2".
